taxon	taxon rank	candidate	taxon author	synonyms	alternative names	remarks
Eukaryota						
Eukaryota;'CRuMs';'CR clade';Rigifilida;Rigifila	genus		Yabuki & Cavalier-Smith in Yabuki et al. 2013		Rigifilidae	single genus Rigifila in family Rigifilidae
Eukaryota;Amorphea			Adl et al. 2012			
Eukaryota;Amorphea;Amoebozoa			Cavalier-Smith 1998			
Eukaryota;Amorphea;Amoebozoa;Discosea	class		Smirnov et al. 2011			
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia			Cavalier-Smith et al. 2016			
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids'						phylogenomics-based group; Acanthopodida and Pellitida form a well-supported clade at the exclusion of Himatismenida
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida	order		Page 1976			
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;Acanthamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;Acanthamoeba;'Aastronyxis clade'						deep genetic divergence within genus Acanthamoeba
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;Acanthamoeba;'Acastellanii clade'						deep genetic divergence within genus Acanthamoeba
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;Balamuthia	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade'						18S-based group; Dracoamoeba, Luapeleamoeba, Protacanthamoeba, and Vacuolamoeba form a well-supported clade
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';Dracoamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';Luapeleamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';Protacanthamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Acanthopodida;'DLPV clade';Vacuolamoeba	genus					
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Pellitida	order		Kang et al. 2017			
Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia;'core centramoebids';Pellitida;Goceviidae						
